Genişletilmiş Sentetik Gönüllü ve Eğitim Veri Seti;;;;;;;
;;;;;;;
Başlık;Açıklama;;;;;;
Veri Niteliği;Tüm kişi, hesap, eğitim, sertifika, katılım ve sınav bilgileri tamamen sentetiktir.;;;;;;
Eğitim Türleri;Afet Farkındalık, Depremde Arama ve Kurtarma, Enkazda Arama ve Kurtarma Temel, Navigasyon, Kampçılık, Haberleşme ve Yangın Farkındalık.;;;;;;
Tarih Biçimi;"Tarih alanları gg.aa.yyyy; tarih-saat alanları gg.aa.yyyy ss:dd biçiminde gösterilir.";;;;;;
İlişkiler;Gönüllü ID, Eğitmen ID, Merkez Sorumlu ID, Eğitim ID ve Sınav ID alanları sayfalar arasında ilişki kurar.;;;;;;
Hesaplar;Her gönüllü, eğitmen ve merkez eğitim sorumlusu e-posta ve sentetik şifre ile bir hesaba bağlıdır.;;;;;;
Sınavlar;Katılımcı bazında sınava girme durumu, alınan puan ve geçti/kaldı bilgisi bulunur.;;;;;;
Referans Tarihi;17.07.2026;;;;;;
Yeni Seviyeli Eğitimler;Kentsel Arama Kurtarma, Su Arama Kurtarma ve Doğada Arama Kurtarma eğitimleri Seviye 1-5 olarak eklenmiştir.;;;;;;
Seviye Yapısı;"Her eğitim grubu için 5 seviye vardır; süre ve geçme puanı seviyeye göre artar.";;;;;;
Toplam Yeni Eğitim;15;;;;;;

Gönüllü ID;Ad Soyad;Telefon;Telefon Son Güncelleme;E-posta;Şifre;İl;Bölge;Aldığı Eğitimler;Uzmanlık Alanı;Durum;
GNL-0001;Tolga Öztürk;+90 555 200 0001;31.01.2025;tolga.ozturk.1@ornek.org;GNLByupdi926!001;Eskişehir;İç Anadolu;Depremde Arama ve Kurtarma Eğitimi, Navigasyon Eğitimi, Yangın Farkındalık Eğitimi;Arama ve Kurtarma;Aktif;
GNL-0002;Mert Yıldız;+90 555 200 0002;09.07.2025;mert.yildiz.2@ornek.org;GNLAoewzh208!002;Konya;İç Anadolu;Navigasyon Eğitimi, Yangın Farkındalık Eğitimi, Haberleşme Eğitimi, Afet Farkındalık Eğitimi;Haberleşme;Aktif;
GNL-0003;Seda Kara;+90 555 200 0003;02.07.2025;seda.kara.3@ornek.org;GNLAprbmf179!003;Bursa;Marmara;Depremde Arama ve Kurtarma Eğitimi;Arama ve Kurtarma;Aktif;
GNL-0004;Umut Doğan;+90 555 200 0004;15.09.2025;umut.dogan.4@ornek.org;GNLQyuvim297!004;Manisa;Ege;Kampçılık Eğitimi;Doğa;Aktif;
GNL-0005;Aslı Yıldız;+90 555 200 0005;25.09.2024;asli.yildiz.5@ornek.org;GNLYsuljb244!005;Erzurum;Doğu Anadolu;Yangın Farkındalık Eğitimi, Haberleşme Eğitimi;Haberleşme;Aktif;
GNL-0006;Cem Şahin;+90 555 200 0006;23.09.2025;cem.sahin.6@ornek.org;GNLFoxrqa317!006;Elazığ;Doğu Anadolu;Depremde Arama ve Kurtarma Eğitimi;Arama ve Kurtarma;Aktif;
GNL-0007;Elif Çelik;+90 555 200 0007;15.10.2025;elif.celik.7@ornek.org;GNLPbwltr463!007;Kars;Doğu Anadolu;Yangın Farkındalık Eğitimi, Haberleşme Eğitimi, Enkazda Arama ve Kurtarma Temel Eğitimi, Kampçılık Eğitimi;Haberleşme;Aktif;
GNL-0008;Ayşe Aydın;+90 555 200 0008;27.03.2026;ayse.aydin.8@ornek.org;GNLNarawv909!008;Amasya;Karadeniz;Enkazda Arama ve Kurtarma Temel Eğitimi, Yangın Farkındalık Eğitimi;Arama ve Kurtarma;Aktif;
GNL-0009;Selin Aslan;+90 555 200 0009;24.01.2025;selin.aslan.9@ornek.org;GNLDiyinf516!009;Isparta;Akdeniz;Navigasyon Eğitimi, Depremde Arama ve Kurtarma Eğitimi, Afet Farkındalık Eğitimi;Arama ve Kurtarma;Aktif;
GNL-0010;Hakan Doğan;+90 555 200 0010;20.04.2025;hakan.dogan.10@ornek.org;GNLIgxbnt368!010;Isparta;Akdeniz;Depremde Arama ve Kurtarma Eğitimi, Afet Farkındalık Eğitimi, Yangın Farkındalık Eğitimi;Arama ve Kurtarma;Aktif;
